subtipo_hecho,latitud,longitud,peso
HURTO,-18.18,-70.46,1
HURTO,-18.17,-70.39,1
HURTO,-18.16,-70.68,3
HURTO,-18.16,-70.52,43
HURTO,-18.15,-70.69,1
HURTO,-18.15,-70.68,4
HURTO,-18.14,-70.7,3
HURTO,-18.13,-70.7,1
HURTO,-18.12,-70.73,1
HURTO,-18.11,-70.72,1
HURTO,-18.11,-70.22,1
HURTO,-18.1,-70.33,1
HURTO,-18.09,-70.33,1
HURTO,-18.09,-70.32,1
HURTO,-18.09,-70.29,1
HURTO,-18.08,-70.32,1
HURTO,-18.07,-70.31,1
HURTO,-18.07,-70.26,1
HURTO,-18.07,-70.25,2
HURTO,-18.06,-70.3,4
HURTO,-18.06,-70.25,2
HURTO,-18.05,-70.3,1
HURTO,-18.05,-70.29,1
HURTO,-18.05,-70.28,3
HURTO,-18.05,-70.26,1
HURTO,-18.05,-70.25,3
HURTO,-18.05,-70.24,160
HURTO,-18.04,-70.28,11
HURTO,-18.04,-70.27,4
HURTO,-18.04,-70.26,1
HURTO,-18.04,-70.25,2
HURTO,-18.03,-70.28,10
HURTO,-18.03,-70.27,12
HURTO,-18.03,-70.26,10
HURTO,-18.03,-70.25,10
HURTO,-18.02,-70.28,1
HURTO,-18.02,-70.27,7
HURTO,-18.02,-70.26,11
HURTO,-18.02,-70.25,26
HURTO,-18.02,-70.24,11
HURTO,-18.02,-70.23,4
HURTO,-18.01,-70.26,12
HURTO,-18.01,-70.25,51
HURTO,-18.01,-70.24,21
HURTO,-18.01,-70.23,19
HURTO,-18.01,-70.22,2
HURTO,-18.0,-70.26,16
HURTO,-18.0,-70.25,597
HURTO,-18.0,-70.24,29
HURTO,-18.0,-70.23,5
HURTO,-18.0,-70.22,21
HURTO,-18.0,-70.21,4
HURTO,-17.99,-70.88,1
HURTO,-17.99,-70.26,1
HURTO,-17.99,-70.25,13
HURTO,-17.99,-70.24,60
HURTO,-17.99,-70.23,2
HURTO,-17.99,-70.22,38
HURTO,-17.99,-70.21,1
HURTO,-17.99,-70.2,1
HURTO,-17.98,-70.25,1
HURTO,-17.98,-70.24,4
HURTO,-17.98,-70.23,41
HURTO,-17.98,-70.22,1
HURTO,-17.97,-70.23,3
HURTO,-17.97,-70.22,1
HURTO,-17.97,-70.18,1
HURTO,-17.97,-70.17,1
HURTO,-17.96,-70.19,2
HURTO,-17.95,-70.2,6
HURTO,-17.94,-70.18,1
HURTO,-17.92,-70.17,2
HURTO,-17.89,-70.15,1
HURTO,-17.89,-70.13,7
HURTO,-17.88,-70.98,5
HURTO,-17.88,-70.6,6
HURTO,-17.88,-70.13,1
HURTO,-17.87,-70.56,1
HURTO,-17.84,-70.53,1
HURTO,-17.81,-70.22,1
HURTO,-17.75,-70.48,1
HURTO,-17.69,-71.35,247
HURTO,-17.66,-71.34,1
HURTO,-17.66,-70.82,2
HURTO,-17.65,-71.35,7
HURTO,-17.65,-71.34,6
HURTO,-17.65,-71.31,1
HURTO,-17.64,-71.35,1
HURTO,-17.64,-71.34,23
HURTO,-17.64,-71.33,1
HURTO,-17.64,-71.32,1
HURTO,-17.64,-71.31,1
HURTO,-17.64,-71.29,4
HURTO,-17.63,-71.34,2
HURTO,-17.63,-71.33,2
HURTO,-17.63,-71.32,2
HURTO,-17.62,-71.34,6
HURTO,-17.61,-71.35,2
HURTO,-17.61,-71.34,4
HURTO,-17.61,-70.11,1
HURTO,-17.6,-71.35,4
HURTO,-17.6,-71.34,2
HURTO,-17.57,-69.68,1
HURTO,-17.56,-71.36,1
HURTO,-17.56,-69.93,1
HURTO,-17.55,-71.36,1
HURTO,-17.55,-70.2,1
HURTO,-17.51,-71.36,1
HURTO,-17.5,-71.36,3
HURTO,-17.5,-70.03,1
HURTO,-17.48,-70.04,4
HURTO,-17.45,-70.06,2
HURTO,-17.42,-70.51,2
HURTO,-17.39,-69.62,1
HURTO,-17.35,-69.62,10
HURTO,-17.33,-71.43,1
HURTO,-17.27,-70.21,1
HURTO,-17.26,-70.66,5
HURTO,-17.23,-70.98,1
HURTO,-17.22,-71.1,1
HURTO,-17.21,-70.95,4
HURTO,-17.21,-70.94,2
HURTO,-17.21,-70.92,1
HURTO,-17.2,-70.95,2
HURTO,-17.2,-70.93,1
HURTO,-17.19,-71.75,25
HURTO,-17.19,-71.02,1
HURTO,-17.19,-71.0,2
HURTO,-17.19,-70.95,1
HURTO,-17.19,-70.94,5
HURTO,-17.19,-70.93,2
HURTO,-17.19,-70.92,3
HURTO,-17.19,-70.91,1
HURTO,-17.18,-70.93,1
HURTO,-17.18,-70.9,1
HURTO,-17.18,-70.89,21
HURTO,-17.17,-71.83,1
HURTO,-17.17,-71.8,1
HURTO,-17.17,-70.91,2
HURTO,-17.17,-70.9,1
HURTO,-17.16,-70.91,292
HURTO,-17.15,-71.82,1
HURTO,-17.15,-70.73,1
HURTO,-17.14,-71.84,1
HURTO,-17.14,-71.81,15
HURTO,-17.13,-71.87,1
HURTO,-17.13,-71.81,2
HURTO,-17.13,-71.8,1
HURTO,-17.13,-70.84,1
HURTO,-17.13,-70.67,1
HURTO,-17.12,-71.79,1
HURTO,-17.11,-71.9,4
HURTO,-17.11,-71.83,1
HURTO,-17.11,-69.7,1
HURTO,-17.1,-71.91,2
HURTO,-17.1,-71.9,1
HURTO,-17.1,-71.84,1
HURTO,-17.1,-71.78,1
HURTO,-17.1,-70.62,1
HURTO,-17.09,-71.91,2
HURTO,-17.09,-71.89,1
HURTO,-17.09,-71.77,27
HURTO,-17.09,-70.82,1
HURTO,-17.08,-70.84,2
HURTO,-17.07,-71.93,1
HURTO,-17.07,-70.85,1
HURTO,-17.04,-72.0,1
HURTO,-17.03,-72.02,2
HURTO,-17.03,-72.01,4
HURTO,-17.03,-72.0,61
HURTO,-17.02,-72.03,1
HURTO,-17.02,-72.02,3
HURTO,-17.02,-72.01,3
HURTO,-17.02,-72.0,2
HURTO,-17.01,-72.1,3
HURTO,-17.01,-72.02,2
HURTO,-17.01,-72.01,2
HURTO,-17.0,-72.1,1
HURTO,-17.0,-72.09,2
HURTO,-16.97,-70.75,7
HURTO,-16.84,-72.27,7
HURTO,-16.84,-69.86,2
HURTO,-16.82,-70.77,1
HURTO,-16.76,-70.66,1
HURTO,-16.71,-71.87,1
HURTO,-16.69,-71.88,1
HURTO,-16.68,-70.99,4
HURTO,-16.66,-72.68,1
HURTO,-16.65,-72.69,2
HURTO,-16.65,-72.68,2
HURTO,-16.63,-72.72,52
HURTO,-16.63,-72.71,8
HURTO,-16.62,-72.74,1
HURTO,-16.62,-72.72,2
HURTO,-16.62,-72.71,19
HURTO,-16.62,-71.87,1
HURTO,-16.62,-71.84,150
HURTO,-16.62,-71.22,1
HURTO,-16.62,-71.19,1
HURTO,-16.62,-69.71,1
HURTO,-16.62,-69.08,11
HURTO,-16.61,-72.71,2
HURTO,-16.61,-72.7,1
HURTO,-16.61,-72.69,1
HURTO,-16.61,-71.86,2
HURTO,-16.61,-71.21,1
HURTO,-16.6,-72.75,11
HURTO,-16.6,-72.71,84
HURTO,-16.6,-72.7,2
HURTO,-16.6,-72.63,1
HURTO,-16.59,-72.77,1
HURTO,-16.59,-72.71,1
HURTO,-16.58,-72.77,10
HURTO,-16.58,-71.85,1
HURTO,-16.58,-71.84,2
HURTO,-16.58,-69.05,1
HURTO,-16.57,-72.71,8
HURTO,-16.57,-71.83,1
HURTO,-16.57,-71.38,1
HURTO,-16.56,-71.46,1
HURTO,-16.56,-69.04,1
HURTO,-16.55,-71.81,1
HURTO,-16.54,-71.81,2
HURTO,-16.54,-71.8,1
HURTO,-16.54,-71.49,13
HURTO,-16.54,-71.44,3
HURTO,-16.53,-71.79,1
